date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:48	29764/29764	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-7444%22	https://adminlte.io/themes/dev/AdminLTE/index3.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/index3.html	(from )
09:44:49	24/24	---M--	200	added ('OK')	text/plain	etag:%225909dd5f-18%22	https://adminlte.io/robots.txt		(from )
09:44:50	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%225c58b7e2-c854%22	http://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/AdminLTE/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:50	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225ab979fa-7918%22	https://adminlte.io/themes/dev/AdminLTE/plugins/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/plugins/font-awesome/css/font-awesome.min.css	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:51	207780/207780	---MCZ	200	added ('OK')	text/css	etag:W/%225b4b9874-32ba4%22	https://adminlte.io/themes/dev/AdminLTE/dist/css/adminlte.min.css	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/dist/css/adminlte.min.css	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:51	2879/2879	---M--	200	added ('OK')	image/jpeg	etag:%225ab979d8-b3f%22	https://adminlte.io/themes/dev/AdminLTE/dist/img/user1-128x128.jpg	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/dist/img/user1-128x128.jpg	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:52	5060/5060	---M--	200	added ('OK')	image/jpeg	etag:%225ab979d8-13c4%22	https://adminlte.io/themes/dev/AdminLTE/dist/img/user8-128x128.jpg	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/dist/img/user8-128x128.jpg	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:52	3511/3511	---M--	200	added ('OK')	image/jpeg	etag:%225ab979d8-db7%22	https://adminlte.io/themes/dev/AdminLTE/dist/img/user3-128x128.jpg	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/dist/img/user3-128x128.jpg	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:52	10380/10380	---M--	200	added ('OK')	image/png	etag:%225ab979fa-288c%22	https://adminlte.io/themes/dev/AdminLTE/dist/img/AdminLTELogo.png	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/dist/img/AdminLTELogo.png	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:53	7070/7070	---M--	200	added ('OK')	image/jpeg	etag:%225ab979d8-1b9e%22	https://adminlte.io/themes/dev/AdminLTE/dist/img/user2-160x160.jpg	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/dist/img/user2-160x160.jpg	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:53	46337/46337	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-b501%22	https://adminlte.io/themes/dev/AdminLTE/index.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/index.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:54	58133/58133	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-e315%22	https://adminlte.io/themes/dev/AdminLTE/index2.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/index2.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:54	72235/72235	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-11a2b%22	https://adminlte.io/themes/dev/AdminLTE/pages/widgets.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/pages/widgets.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:55	31674/31674	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-7bba%22	https://adminlte.io/themes/dev/AdminLTE/pages/charts/chartjs.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/pages/charts/chartjs.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:55	31182/31182	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-79ce%22	https://adminlte.io/themes/dev/AdminLTE/pages/charts/flot.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/pages/charts/flot.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:55	43190/43190	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-a8b6%22	https://adminlte.io/themes/dev/AdminLTE/pages/charts/inline.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/pages/charts/inline.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:56	56580/56580	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-dd04%22	https://adminlte.io/themes/dev/AdminLTE/pages/UI/general.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/pages/UI/general.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:56	20403/20403	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-4fb3%22	https://adminlte.io/themes/dev/AdminLTE/pages/UI/icons.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/pages/UI/icons.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
09:44:57	71228/71228	---MCZ	200	added ('OK')	text/html	etag:W/%225add2603-1163c%22	https://adminlte.io/themes/dev/AdminLTE/pages/UI/buttons.html	C:/My%20Web%20Sites/AdminLTE/adminlte.io/themes/dev/AdminLTE/pages/UI/buttons.html	(from https://adminlte.io/themes/dev/AdminLTE/index3.html)
